"FTSE EPRA Nareit United States USD Price Return Index | Price History                                          04-May-2021 23:39",,,,,,,
,,,,,,,
,,,,,,,
.FTUNUS,,,,,,,
"Interval: Daily",,,,,,,
"History Period: 04-May-2001 - 03-May-2021",,,,,,,
"Currency Conversion: USD",,,,,,,
,,,,,,,
,,,,,,,
".FTUNUS Statistics     Daily     04-May-2001 - 03-May-2021",,,,,,,
Price,,,Up/Down,,"Price Change (Close-Close)",,
High,"3431,19",2020/02/21,Up,2688,Up,"0,183511498032571",2008/11/24
Low,"688,96",2009/03/06,Down,2331,Down,"-0,194984218903146",2008/12/01
Avg,"2241,01562143895",,Unch,172,Period,"1,68930494101673","04-May-2001 - 03-May-2021"
,,,,,,,
,,,,,,,
".FTUNUS History     Daily     04-May-2001 - 03-May-2021",,,,,,,
"Exchange Date",Close,Net,%Chg,Open,Low,High,
2005/11/30,"2142,81","-10,9700000000003","-0,0050933707249581","2153,78","2138,35","2161,37",
2005/11/29,"2153,78","7,36000000000013","0,00342896544012827","2146,42","2146,42","2156,03",
2005/11/28,"2146,42","-22,4899999999998","-0,0103692638237639","2168,91","2146,36","2169,57",
2005/11/25,"2168,91","3,42000000000007","0,00157931923028971","2165,49","2156,43","2169,93",
2005/11/24,"2165,49",0,0,"2165,49","2165,49","2165,49",
2005/11/23,"2165,49","12,04","0,00559102834985719","2153,45","2146,79","2166,44",
2005/11/22,"2153,45","22,5799999999999","0,0105966107740031","2130,87","2124,07","2154,92",
2005/11/21,"2130,87","11,0499999999997","0,00521270673925132","2119,82","2107,95","2131,54",
2005/11/18,"2119,82","14,1300000000001","0,00671038946853531","2105,69","2103,23","2120,52",
2005/11/17,"2105,69","29,5100000000002","0,0142136038301112","2076,18","2076,18","2108,05",
2005/11/16,"2076,18","-9,46000000000004","-0,00453577798661324","2085,64","2069,23","2087,7",
2005/11/15,"2085,64","-6,38000000000011","-0,00304968403743755","2092,02","2082,25","2099,67",
2005/11/14,"2092,02","-9,80000000000018","-0,0046626257243723","2101,82","2088,23","2105,83",
2005/11/11,"2101,82","15,3000000000002","0,00733278377393947","2086,52","2083,09","2101,84",
2005/11/10,"2086,52","43,4000000000001","0,0212420220055602","2043,12","2034,16","2087,57",
2005/11/09,"2043,12","25,4899999999998","0,0126336345117786","2017,63","2016,67","2058,44",
2005/11/08,"2017,63","-11,7099999999998","-0,00577034898045661","2029,34","2007,75","2029,34",
2005/11/07,"2029,34","11,8899999999999","0,00589357852734882","2017,45","2011,59","2035,68",
2005/11/04,"2017,45","-5,1099999999999","-0,00252650106795344","2022,56","1997,3","2024,37",
2005/11/03,"2022,56","-11,8700000000001","-0,00583455808260796","2034,43","2019,93","2053,75",
2005/11/02,"2034,43","20,72","0,0102894657125405","2013,71","2002,53","2034,43",
2005/11/01,"2013,71","-43,6399999999999","-0,0212117529832065","2057,35","1997,02","2057,35",
2005/10/31,"2057,35","16,3699999999999","0,00802065674332913","2040,98","2040,98","2066,36",
2005/10/28,"2040,98","57,25","0,0288597742636347","1983,73","1983,73","2041,79",
